product_name;brand;product_type;unit;unit_purchase;price_per_unit;total_price;currency;date;delivery;store_location;type_store;customer_name;cashier_name
Spirit Level;Krisbow;Tool;Piece;16;65000;1040000;IDR;02/09/2022 14:04;Delivery;Jakarta;Branch;Syifa Ubaid;Muhammad Fikru
Timber Beam (Kaso);Unbranded;Wood;Piece;30;25000;750000;IDR;25/07/2024 10:38;Delivery;Jayapura;Branch;Melania Kusuma;Marshanda Maharani
Wall Putty (Filler);Matex;Paint Accessory;Kg;25;20000;500000;IDR;31/10/2020 16:46;Delivery;Jakarta;Branch;Tono Malaka;Muhammad Fikru
Paint Roller;Ace Oldfields;Paint Accessory;Piece;16;25000;400000;IDR;14/01/2021 16:41;Pickup;Medan;Branch;Kayla Ubaid;Kayla Kiki Lena
Floor Drain;Onda;Sanitary;Piece;31;50000;1550000;IDR;18/06/2022 14:38;Pickup;Denpasar;Branch;Aleena Jayawardana;Permata Qaila
Roof Batten (Reng);Unbranded;Wood;Piece;16;15000;240000;IDR;27/12/2023 11:34;Pickup;Surabaya;Branch;Asep Wijaya;Isabell Inaya
Skim Coat (Wall Putty);Drymix;Mortar;Sack;8;55000;440000;IDR;13/05/2023 17:21;Delivery;Jakarta;Branch;Syifa Shihab;Erinna Elsa Elizha
Paint Roller;Ace Oldfields;Paint Accessory;Piece;47;25000;1175000;IDR;23/05/2022 15:51;Pickup;Surabaya;Branch;Wawan Thalib;Isabell Inaya
Ceramic Tile;Roman;Tile;Box;3;75000;225000;IDR;26/07/2021 17:09;Delivery;Denpasar;Branch;Nina Jayawardana;Nina Octavia
Paint Roller;Ace Oldfields;Paint Accessory;Piece;16;25000;400000;IDR;13/04/2024 16:28;Pickup;Surabaya;Branch;Hendra Wijaya;Burhan Bakhtiar
Formwork Board (Shuttering);Unbranded;Wood;Piece;6;30000;180000;IDR;29/06/2022 14:48;Delivery;Surabaya;Branch;Wawan Shihab;Zahra Jasmine
Lamp Bulb;Philips;Electrical;Piece;3;15000;45000;IDR;03/08/2022 17:17;Delivery;Medan;Branch;Tono Thalib;Ehsan Aziz
Gresik 50 kg;Gresik;Cement;Sack;15;70000;1050000;IDR;21/05/2024 16:03;Delivery;Medan;Branch;Tono Wijaya;Kezia Karen
River Stone;Unbranded;Stone;Cubic Meter;33;330000;10890000;IDR;01/03/2022 14:51;Delivery;Bandung;Branch;Agung Syaiban;Anwar Arif Akhtar
Rebar 8mm;Master Steel;Steel;Meter;28;20000;560000;IDR;09/11/2024 10:56;Pickup;Medan;Branch;Saiful Shihab;Chairil Dhaifullah
PVC Pipe;Rucika;Plumbing;Meter;40;16000;640000;IDR;11/05/2022 14:39;Pickup;Surabaya;Branch;Nina Kusuma;Zahra Jasmine
Door Hinge;Belleza;Lock Accessory;Pair;25;30000;750000;IDR;10/12/2024 13:52;Delivery;Tasikmalaya;Head Office;Saiful Jayawardana;Naura Aliya Lestari
Rebar 8mm;Master Steel;Steel;Meter;5;20000;100000;IDR;27/07/2024 9:34;Pickup;Jayapura;Branch;Kayla Thalib;Fauzi Ghaffar
